id,verdict,decided_by,method,score,similarity,train_file,val_file,train_class,val_class,evidence
0,different,unanimous,hash,2,,train/n02979186/n02979186_8736.JPEG,val/n02979186/n02979186_4720.JPEG,cassette player,cassette player,"Train is a silver Denon CD receiver with front display; val is a black mini hi-fi unit with a separate speaker, so these are different devices."
1,different,unanimous,hash,2,,train/n03888257/n03888257_10933.JPEG,val/n03888257/n03888257_171.JPEG,parachute,parachute,Train shows kite flyers on a brown dirt field in daylight; val is a paraglider silhouette against an orange sunset over dark water.
2,different,unanimous,hash,3,,train/n03888257/n03888257_30394.JPEG,val/n03888257/n03888257_171.JPEG,parachute,parachute,Train is a green-yellow paraglider over a green lawn under blue sky; val is the dark paraglider silhouette against a sunset.
3,different,unanimous,hash,4,,train/n02979186/n02979186_10013.JPEG,val/n02979186/n02979186_4720.JPEG,cassette player,cassette player,"Train is a black boombox with twin built-in speakers and a cassette deck; val is a black mini-system with a separate speaker cabinet, so the products differ."
4,different,unanimous,hash,4,,train/n03417042/n03417042_27014.JPEG,val/n03888257/n03888257_171.JPEG,garbage truck,parachute,"Train is a white garbage truck parked by a building on a lawn; val is the sunset paraglider silhouette, so both subject and scene differ."
5,different,unanimous,hash,4,,train/n03417042/n03417042_13448.JPEG,val/n03888257/n03888257_31180.JPEG,garbage truck,parachute,Train is a green garbage truck at a dirt landfill under clouds; val is a blue parachute over a grassy airfield with a fence and road.
6,different,unanimous,hash,4,,train/n03888257/n03888257_13184.JPEG,val/n03888257/n03888257_32001.JPEG,parachute,parachute,"Train shows people gathering a yellow canopy on a hazy field with a town skyline behind; val is an empty green airfield with a small canopy, blue sky and a dark treeline."
7,different,unanimous,hash,4,,train/n03888257/n03888257_4355.JPEG,val/n03888257/n03888257_32001.JPEG,parachute,parachute,"Train has a grey hazy sky, a grey canopy, power poles and a distant town; val has a blue sky, a yellow-orange canopy, a green field, a dark treeline and a railing, so the locations differ."
8,different,unanimous,hash,5,,train/n03888257/n03888257_9667.JPEG,val/n03888257/n03888257_18382.JPEG,parachute,parachute,Train is a small parachute in a pale blue-grey haze over a flat green field; val is a dark round canopy above a dark shoreline against a near-white sky.
9,different,unanimous,hash,5,,train/n03888257/n03888257_3595.JPEG,val/n03888257/n03888257_18921.JPEG,parachute,parachute,Train is a small red kite against plain blue sky with no ground; val is a kite skier on a flat snow or ice plain with a horizon.
10,different,unanimous,hash,5,,train/n03888257/n03888257_34157.JPEG,val/n03888257/n03888257_32001.JPEG,parachute,parachute,Train shows a long yellow kite and people running on grass under cloudy sky; val is an empty green airfield with a small yellow canopy under blue sky.
11,different,unanimous,hash,5,,train/n03888257/n03888257_35555.JPEG,val/n03888257/n03888257_32001.JPEG,parachute,parachute,Train is a blue-white paramotor over ploughed farmland with bare shrubs at dusk; val is a yellow canopy over a mown green airfield.
12,different,unanimous,hash,5,,train/n03888257/n03888257_18055.JPEG,val/n03888257/n03888257_5722.JPEG,parachute,parachute,Train is a small canopy above a parked twin-engine plane at dusk; val is a pink canopy landing among several people on a grass field.
13,same_scene,unanimous,keypoints,134,0.905,train/n03888257/n03888257_70876.JPEG,val/n03888257/n03888257_58392.JPEG,parachute,parachute,"The cloud field matches under one homography (132 inliers, residual about 0.3px), but the parachutist sits in a different spot and only val shows the treeline and ground, so these are consecutive upward shots of the same sky."
14,same_photo,unanimous,keypoints,121,0.89,train/n03417042/n03417042_19158.JPEG,val/n03417042/n03417042_25940.JPEG,garbage truck,garbage truck,"The same Republic Services Mack truck and trees align under a single 1.5x scale (119 of 122 matches within 1px); a moving truck would have shifted against the trees in a separate shot, so val is a tighter crop of the same photo."
15,same_scene,unanimous,keypoints,115,0.883,train/n03394916/ILSVRC2012_val_00042707.JPEG,val/n03394916/n03394916_68551.JPEG,French horn,French horn,"Same brass quintet, church and red carpet with nearly identical poses, but the crops differ (val adds a trumpeter on the left, train shows more floor) and about 1-1.5px of non-rigid misalignment remains (only 61 of 116 matches within 1px), which fits a near-simultaneous burst frame; it could possibly be a re-processed copy of one photo."
16,same_photo,unanimous,keypoints,111,0.903,train/n01440764/n01440764_10969.JPEG,val/n01440764/n01440764_6391.JPEG,tench,tench,"The same man in a blue jacket holds the same tench with the same expression and hand placement, aligned to about 0.27px; in train the lakeside background has been replaced by flat grey."
17,same_scene,unanimous,keypoints,101,0.94,train/n03394916/n03394916_44127.JPEG,val/n03394916/n03394916_30631.JPEG,French horn,French horn,"The same outdoor horn section (curly-haired woman in glasses, man in a navy shirt, man in a blue shirt), but the framing differs, a woman in a white patterned top appears only in val, and heads and horns shift by about 1px or more (85 of 123 inliers)."
18,same_photo,unanimous,keypoints,95,0.898,train/n03417042/n03417042_3216.JPEG,val/n03417042/n03417042_4980.JPEG,garbage truck,garbage truck,"The identical blue Dongfeng compactor truck cutout (same wheel angles, same driver in the cab, same door text) aligns to about 0.23px; train puts it on a white brochure background with company text and val puts it on a sky and mountain background with a watermark."
19,same_scene,unanimous,keypoints,87,0.934,train/n02102040/n02102040_484.JPEG,val/n02102040/n02102040_3381.JPEG,English springer,English springer,"The same fenced wooded yard, tree trunks and seedlings, with the camera panned about 62px; the black-and-white dog is leaping mid-left in train but near the right-hand tree in val, so these are shots moments apart."
20,same_scene,unanimous,keypoints,86,0.841,train/n03417042/n03417042_3158.JPEG,val/n03417042/n03417042_9021.JPEG,garbage truck,garbage truck,"Both are shot through the same red-hooded windshield at the same blue garbage truck, parked cars, and orange-shirted and blue-shirted workers on the same street, but the workers and bins are in different positions."
21,same_photo,unanimous,keypoints,84,0.886,train/n01440764/n01440764_2816.JPEG,val/n01440764/n01440764_3560.JPEG,tench,tench,"The same pile of tench, cropped slightly differently: one homography aligns the two with about 0.3px median error and near-zero residual difference (NCC 0.99)."
22,different,unanimous,keypoints,83,0.81,train/n03417042/n03417042_5505.JPEG,val/n03417042/n03417042_7002.JPEG,garbage truck,garbage truck,"The sky, palm trees, sea backdrop and clzqc.com watermark are the same stock composite, but the trucks are different: a white sealed tank body versus a blue hook-lift bin."
23,same_photo,unanimous,keypoints,83,0.877,train/n03417042/n03417042_7728.JPEG,val/n03417042/n03417042_12291.JPEG,garbage truck,garbage truck,"The same truck, buildings, parked scooters and tree line up exactly; the train copy is a photoshop with GReddy/AEM decals and custom rims pasted over the BCNeta livery."
24,same_photo,unanimous,keypoints,80,0.862,train/n02102040/n02102040_1695.JPEG,val/n02102040/n02102040_3311.JPEG,English springer,English springer,The train close-up is a zoomed crop of the val dog's head: it aligns at 0.49x scale with a mean pixel difference of about 3.
25,same_photo,unanimous,keypoints,76,0.89,train/n03000684/n03000684_7953.JPEG,val/n03000684/n03000684_15731.JPEG,chain saw,chain saw,"The same Husqvarna 335XPT catalog image with identical highlights and label placement; the train copy is rotated and cropped, the val copy has a green border."
26,same_scene,unanimous,keypoints,74,0.899,train/n01440764/n01440764_14885.JPEG,val/n01440764/n01440764_13702.JPEG,tench,tench,"The same tench in front of the same algae-covered aquarium rocks, but the fish's body angle and fin positions differ and the background has shifted."
27,same_scene,unanimous,keypoints,74,0.865,train/n03425413/n03425413_17369.JPEG,val/n03425413/n03425413_21332.JPEG,gas pump,gas pump,"The same Shell V-Power pump, pillars and shopfront from nearly the same viewpoint (the pump aligns with 0.2px error), but a white car in one is replaced by a red pickup and a posing man in the other."
28,same_scene,unanimous,keypoints,71,0.835,train/n03394916/n03394916_36966.JPEG,val/n03394916/n03394916_33352.JPEG,French horn,French horn,"The same bald man in a teal shirt, the same gold saxophone with a copper bell on the table and the same room, with a different pose and framing (horn player beside him in train, holding a soprano sax in val)."
29,same_scene,unanimous,keypoints,70,0.89,train/n03394916/n03394916_30943.JPEG,val/n03394916/n03394916_39500.JPEG,French horn,French horn,"The same horn player, stone wall and blue clothespin, but after aligning on the wall his face and mouthpiece are offset by several pixels, so his head moved between shots."
30,same_photo,unanimous,keypoints,69,0.886,train/n03417042/n03417042_3216.JPEG,val/n03417042/n03417042_12531.JPEG,garbage truck,garbage truck,The same Dongfeng blue-cab compactor truck image at an identical angle; it sits on a white company header in one and is composited onto a mountain-lake backdrop with a text overlay in the other.
31,same_scene,unanimous,keypoints,67,0.829,train/n03394916/n03394916_32745.JPEG,val/n03394916/n03394916_39500.JPEG,French horn,French horn,"The same horn player, shot rotated about 90 degrees relative to the val; after alignment his body and shirt are offset relative to the horn and face, with residual shifts up to about 7px, so this is a different frame of the same burst."
32,same_scene,unanimous,keypoints,66,0.903,train/n01440764/n01440764_13679.JPEG,val/n01440764/n01440764_8030.JPEG,tench,tench,"The same young man holding the same tench against the same branches in a nearly identical pose, but after alignment the fish head is shifted about 6px and the face about 3px relative to the hands, so it is a different frame (the train copy also has an added white border)."
33,same_scene,unanimous,keypoints,64,0.883,train/n02102040/n02102040_986.JPEG,val/n02102040/n02102040_2641.JPEG,English springer,English springer,"The same black-and-white springer in front of the same purple flowers and green foliage, but the ears differ: straight in train, curled and flared outward in val."
34,same_scene,unanimous,keypoints,64,0.883,train/n03000684/n03000684_1428.JPEG,val/n03000684/n03000684_11701.JPEG,chain saw,chain saw,"The same red-mohawk chainsaw juggler in front of the same stone building, fringe banner and crowd, holding the saw overhead in one and at waist height in the other."
35,same_scene,unanimous,keypoints,63,0.896,train/n03000684/n03000684_1404.JPEG,val/n03000684/n03000684_7161.JPEG,chain saw,chain saw,"The same hooded worker cutting the same tree beside the same white truck and leaning sapling, in a different kneeling position and at a different cut stage."
36,same_scene,unanimous,keypoints,63,0.912,train/n03000684/n03000684_16537.JPEG,val/n03000684/n03000684_11701.JPEG,chain saw,chain saw,"The same juggler, building, fringe banner and crowd as #34, but he is in a different pose, displaced by about 60px relative to the background."
37,different,unanimous,keypoints,62,0.89,train/n03028079/n03028079_7073.JPEG,val/n03028079/n03028079_12330.JPEG,church,church,"The same church facade (San Agustin style), but photographed on a different occasion: overcast white sky with parked cars and a tree in train, blue cloudy sky with tighter framing in val; not a burst."
38,same_photo,tie-break,keypoints,59,0.855,train/n03000684/n03000684_17309.JPEG,val/n03000684/n03000684_11180.JPEG,chain saw,chain saw,"Val is a crop of the same capture, about 1.75x tighter. After a single near-isotropic affine (SIFT/RANSAC, then ECC 0.97 at train resolution), the man's head tilt, both gloved hands, the wristwatch, the chainsaw bar angle and the dangling chain on the log all land on the same spots. Per-patch phase correlation leaves residual shifts of about 1 px or less, noisy, with no subject-vs-background offset, so nothing shows him moving between two burst frames. The skeptic's 'different chainsaw pose' is a misreading: the waist-level bar is identical in both, and the lower horizontal bar in train is simply outside val's frame. Two caveats: val is more saturated, and a thin strip on its left (a yellow-clad bystander) falls just outside train's frame, so train itself was likely cropped from a larger original. Files: C:\Users\ranje\Desktop\opencv-comp-2026\imagenette_exp\imagenette2-160\train\n03000684\n03000684_17309.JPEG and ...\val\n03000684\n03000684_11180.JPEG."
39,same_scene,unanimous,keypoints,58,0.883,train/n02102040/n02102040_2474.JPEG,val/n02102040/n02102040_901.JPEG,English springer,English springer,"The same liver-and-white springer with a pink bandana and red leash on the same brick path next to the same person's sandaled feet, with its head turned away in one and facing the camera in the other."
40,same_scene,unanimous,keypoints,57,0.908,train/n02102040/n02102040_565.JPEG,val/n02102040/n02102040_2920.JPEG,English springer,English springer,"Same dog show, same woman in red jacket kneeling with the same springer and the same woman in black in the background, but in the val shot a judge in a grey suit is bending over the dog and the handler's head and the framing have shifted."
41,same_photo,tie-break,keypoints,57,0.848,train/n03445777/n03445777_2356.JPEG,val/n03445777/n03445777_4371.JPEG,golf ball,golf ball,"Val is the train photo mirrored, scaled about 1.2x and cropped, with a 'La Quinta Rentals' logo pasted on and the sky brightened. SIFT found 55 of 58 matches fitting one similarity transform (scale 1.201, no rotation) across grass, hedge band and ball. After warping, the difference map is near-black everywhere (median pixel difference 4.3/255) except the logo, the train ball's small dark mark that val removed, and a mild sky exposure shift. The grass blades and dimple pattern line up exactly, so the reviewers' 'different blades/ball' reading came from the thumbnails and the unmirrored view."
42,same_scene,unanimous,keypoints,56,0.92,train/n03000684/n03000684_1649.JPEG,val/n03000684/n03000684_17082.JPEG,chain saw,chain saw,"Same man in white T-shirt cutting the same log on a yellow sawbuck in front of the same trees, but the log's position, the sawdust spray and his posture differ between the two frames."
43,same_scene,unanimous,keypoints,55,0.897,train/n01440764/n01440764_11807.JPEG,val/n01440764/n01440764_11590.JPEG,tench,tench,"Same man in camo holding the same dark fish beside the same blue cooler on a wooden deck, but the val shot is framed wider and the fish and his face are in a different position."
44,different,unanimous,keypoints,53,0.903,train/n03000684/n03000684_2265.JPEG,val/n03000684/ILSVRC2012_val_00007460.JPEG,chain saw,chain saw,"Same Echo brochure template with grey lines, but the train saw is an 18-inch 45cc rear-handle model with different callouts, while the val saw is a 16-inch 33.4cc model with a purge bulb label."
45,same_scene,unanimous,keypoints,53,0.897,train/n03417042/n03417042_7633.JPEG,val/n03417042/n03417042_742.JPEG,garbage truck,garbage truck,"Same blue garbage truck, yellow taxi and scaffolded building on the same NYC street, but the truck and taxi are at different distances and the framing differs, so these are consecutive shots."
46,same_scene,unanimous,keypoints,50,0.943,train/n02102040/n02102040_6313.JPEG,val/n02102040/n02102040_312.JPEG,English springer,English springer,"Same springer spaniel in front of the same wooden cabinet with the same bone-shaped bed and steel bowl, but the dog's head is raised in train and lowered in val."
47,same_scene,unanimous,keypoints,50,0.845,train/n03888257/n03888257_11759.JPEG,val/n03888257/n03888257_42680.JPEG,parachute,parachute,"The cloud layer lines up under a homography, so this is the same jump, but train shows the tandem under deploying canopy lines while val shows the tandem group in freefall under a drogue, a different moment."
48,same_photo,unanimous,keypoints,49,0.857,train/n03445777/n03445777_2137.JPEG,val/n03445777/n03445777_4211.JPEG,golf ball,golf ball,"Same golf course shot with identical cloud streaks, treeline and ball position aligned by homography; train is the same image with a white frame, drop shadow and different tone mapping from val's HDR look."
49,same_scene,unanimous,keypoints,48,0.857,train/n03000684/n03000684_1323.JPEG,val/n03000684/n03000684_8890.JPEG,chain saw,chain saw,"The same cut log and sawdust align precisely by homography, but train is a blurred close-up of a standing sawyer in jeans while val shows the hooded man kneeling, a different moment of the same cutting."
50,same_scene,unanimous,keypoints,48,0.927,train/n03417042/n03417042_25458.JPEG,val/n03417042/n03417042_19812.JPEG,garbage truck,garbage truck,"Same rear-loader garbage truck on the same residential street with the same siding house and blue bin, but the truck has moved farther down the road in val."
51,different,tie-break,keypoints,47,0.825,train/n03417042/n03417042_25504.JPEG,val/n03417042/n03417042_19531.JPEG,garbage truck,garbage truck,"Both images use the same composited LONGMA ad background (logo, cloud, trees, grass, cnlonghorse.com URL), but the trucks are different vehicles, not one truck seen from the front and the rear. Train shows a white sweeper cab with a blue/red decal and red front brushes. Val shows a silver tanker body with a red diagonal stripe, a rear arrow board, a red-white chevron bumper and a side-mounted brush arm. Only the shared template links them, which is not a burst of the same subject."
52,same_scene,unanimous,keypoints,47,0.833,train/n03888257/n03888257_38633.JPEG,val/n03888257/n03888257_42680.JPEG,parachute,parachute,"Same cloud layer aligns closely under homography (same jump as the val), but train shows a single tandem hanging under canopy lines while val shows the group in freefall under a drogue."
53,same_scene,unanimous,keypoints,45,0.941,train/n03417042/n03417042_6973.JPEG,val/n03417042/n03417042_652.JPEG,garbage truck,garbage truck,"Same yellow-cab blue compactor truck on the same cobbles with the same tree shadows, but parallax on the wheels and cab and different trees at the frame edges show a second shot from a slightly moved viewpoint."
54,same_scene,unanimous,keypoints,44,0.872,train/n03888257/n03888257_3013.JPEG,val/n03888257/n03888257_13681.JPEG,parachute,parachute,"Same desert terrain, highway, town grid and parachutist, with the terrain matching by homography, but train looks straight down while val is tilted up to show the horizon and blue sky."
55,same_scene,unanimous,keypoints,43,0.914,train/n02102040/n02102040_2516.JPEG,val/n02102040/n02102040_1442.JPEG,English springer,English springer,"Same dog show with the same judge in a tan suit, the same handler in a brown jacket, the same springer and tent, but the handler kneels in train and stands bent over in val, and val is framed wider."
56,same_scene,unanimous,keypoints,41,0.909,train/n02102040/n02102040_6313.JPEG,val/n02102040/n02102040_6652.JPEG,English springer,English springer,"Same springer in front of the same wooden cabinet with the same bone bed and steel bowl, but the dog faces the camera in train and looks sideways in val, with different framing."
57,different,unanimous,keypoints,41,0.883,train/n03000684/n03000684_11528.JPEG,val/n03000684/ILSVRC2012_val_00007460.JPEG,chain saw,chain saw,"Shared Echo brochure layout, but the train saw is a 14-inch top-handle model with SAIS2 and lanyard-ring callouts, while the val saw is a 16-inch 33.4cc rear-handle model."
58,same_photo,unanimous,keypoints,41,0.883,train/n03417042/n03417042_3376.JPEG,val/n03417042/n03417042_7002.JPEG,garbage truck,garbage truck,"The same truck cutout (identical pose, Chinese characters, ladder and wheels, aligned by homography with low residual) is pasted onto different backgrounds (desert vs palm-tree sky) with different watermarks (dijfqc.com vs clzqc.com)."
59,same_scene,unanimous,keypoints,40,0.883,train/n02979186/ILSVRC2012_val_00033397.JPEG,val/n02979186/n02979186_26822.JPEG,cassette player,cassette player,"Same black cassette recorder with the same orange-label tape and the same Photographers Direct watermark, but train is a tight crop with the lid closed while val is a wider shot with the clear lid raised."
60,different,unanimous,keypoints,40,0.815,train/n03000684/n03000684_4746.JPEG,val/n03000684/ILSVRC2012_val_00007460.JPEG,chain saw,chain saw,"Two different Echo chainsaw catalog images: the train one is an orange 36.3cc model with G-Force labels, the val one is a white-bodied 33.4cc model with a red handle and different callouts."
61,same_scene,unanimous,keypoints,40,0.924,train/n03888257/n03888257_6338.JPEG,val/n03888257/n03888257_13100.JPEG,parachute,parachute,"Same tandem skydivers in the same outfits (white shirt, teal suits, red gloves), but after alignment the arm positions and expressions differ and only the val shot shows the drogue line, so these are burst frames."
62,same_photo,unanimous,keypoints,39,0.913,train/n01440764/n01440764_7157.JPEG,val/n01440764/n01440764_9780.JPEG,tench,tench,"The val image is a tighter crop of the same angler holding the tench: finger placement and the white-spotted tail fin are identical, and SIFT gives 158/170 inliers under a pure 1.89x scale."
